candidate_id,rank,score,reasoning
CAND_0080766,1,0.2979703790187836,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0057701,2,0.2953337675571442,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0013393,3,0.2942850048542023,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0074735,4,0.29353837809562683,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0022812,5,0.29282935104370117,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0052169,6,0.2926046009063721,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0060072,7,0.2925166136264801,Professional with 0.0 yrs experience; matches 4 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0088025,8,0.2918380445480347,Professional with 0.0 yrs experience; matches 5 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0033861,9,0.2912379829406738,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0010257,10,0.29087514233589173,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0051004,11,0.2905665501117706,Professional with 0.0 yrs experience; matches 1 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0008978,12,0.29045945954322816,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0093547,13,0.2904044417858124,Professional with 0.0 yrs experience; matches 5 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0086022,14,0.29025024724006654,Professional with 0.0 yrs experience; matches 4 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0081321,15,0.289409423494339,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0087630,16,0.28921626648902893,Professional with 0.0 yrs experience; matches 1 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0092278,17,0.2891776616573334,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0003290,18,0.2888714834213257,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0041568,19,0.28845037660598755,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0011687,20,0.2882546539306641,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0081686,21,0.2872657722473145,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0014440,22,0.28723455023765565,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0006850,23,0.2872329409122467,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0064904,24,0.2871491963863373,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0032515,25,0.28653116664886474,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0089552,26,0.2862140103340149,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0057369,27,0.28618820152282715,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0057563,28,0.2856908495426178,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0040677,29,0.28561519227027893,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0076163,30,0.28547172389030456,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0094056,31,0.2854222710132599,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0068351,32,0.28537353339195254,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0048469,33,0.2852266187667847,Professional with 0.0 yrs experience; matches 1 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0068456,34,0.28424993705749513,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0039838,35,0.28391882243156435,Professional with 0.0 yrs experience; matches 1 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0055992,36,0.28370586585998536,Professional with 0.0 yrs experience; matches 1 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0039754,37,0.2836714333534241,Professional with 0.0 yrs experience; matches 4 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0093474,38,0.28362111887931823,Professional with 0.0 yrs experience; matches 1 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0077504,39,0.2835636193752289,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0052579,40,0.2832021768093109,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0059017,41,0.2829078598976135,Professional with 0.0 yrs experience; matches 4 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0074731,42,0.28254954657554626,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0095528,43,0.2820970768928528,Professional with 0.0 yrs experience; matches 3 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0007009,44,0.2819175856590271,Professional with 0.0 yrs experience; matches 1 AI/ML skills. Low engagement (response rate: 0.00).
CAND_0055842,45,0.28142793617248535,Professional with 0.0 yrs experience; matches 2 AI/ML skills. Low engagement (response rate: 0.00).
